turbine_id,wkt_geom,Turbine id,Date of or,Capacity (,Rotor diam,Blade length m,Hub height,Manufactur,Model,Local auth,Local au_1,Type of lo,Cadastral,Cadastra_1,longitude,latitude,Origin of
T206,Point (467410.34000000002561137 6214873.08999999985098839),5.70715E+17,11 07 2009,1800,90,43.5,80,Vestas Wind Systems A/S,"V 90 1,8",760,Ringkøbing-Skjern,LAND,"Den sydvestlige del, Brejning",32d,467410.34,6214873.09,SDFE2018
T207,Point (467760.30999999999767169 6214943.20000000018626451),5.70715E+17,13 07 2009,1800,90,43.5,80,Vestas Wind Systems A/S,"V 90 1,8",760,Ringkøbing-Skjern,LAND,"Den sydvestlige del, Brejning",4n,467760.31,6214943.2,SDFE2018
T208,Point (468111.41999999998370185 6215011.69000000040978193),5.70715E+17,8 07 2009,1800,90,43.5,80,Vestas Wind Systems A/S,"V 90 1,8",760,Ringkøbing-Skjern,LAND,"Den sydvestlige del, Brejning",4r,468111.42,6215011.69,SDFE2018
T209,Point (468462.22999999998137355 6215079.16999999992549419),5.70715E+17,14 07 2009,1800,90,43.5,80,Vestas Wind Systems A/S,"V 90 1,8",760,Ringkøbing-Skjern,LAND,"Den sydvestlige del, Brejning",2k,468462.23,6215079.17,SDFE2018
T210,Point (452308.04999999998835847 6220383.75),5.70715E+17,29 06 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90 3,760,Ringkøbing-Skjern,LAND,"Søgård hdg., Nysogn",98h,452308.05,6220383.75,SDFE2018
T211,Point (452293.95000000001164153 6220065.04999999981373549),5.70715E+17,2 07 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90 3,760,Ringkøbing-Skjern,LAND,"Søgård hdg., Nysogn",93e,452293.95,6220065.05,SDFE2018
T212,Point (452280.17999999999301508 6219747.05999999959021807),5.70715E+17,23 06 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90 3,760,Ringkøbing-Skjern,LAND,"Søgård hdg., Nysogn",309a,452280.18,6219747.06,SDFE2018
T213,Point (452266.08000000001629815 6219428.80999999959021807),5.70715E+17,29 06 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90 3,760,Ringkøbing-Skjern,LAND,Strandgårde Gammelsogn,11k,452266.08,6219428.81,SDFE2018
T214,Point (452252.39000000001396984 6219119.55999999959021807),5.70715E+17,24 06 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90 3,760,Ringkøbing-Skjern,LAND,Strandgårde Gammelsogn,14l,452252.39,6219119.56,SDFE2018
T215,Point (457700.11999999999534339 6190144.57000000029802322),5.70715E+17,21 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Bandbøl By, Hemmet",5h,457700.12,6190144.57,SDFE2018
T216,Point (457554.25 6190474.46999999973922968),5.70715E+17,21 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Bandbøl By, Hemmet",21f,457554.25,6190474.47,SDFE2018
T217,Point (457408.40000000002328306 6190803.5400000000372529),5.70715E+17,21 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Nr. Bork By, Nr. Bork",85,457408.4,6190803.54,SDFE2018
T218,Point (457928.11999999999534339 6190509.08000000007450581),5.70715E+17,22 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Bandsbøl By, Hemmet",8e,457928.12,6190509.08,SDFE2018
T219,Point (457782.30999999999767169 6190836.78000000026077032),5.70715E+17,21 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Bandsbøl By, Hemmet",16d,457782.31,6190836.78,SDFE2018
T220,Point (457634.65999999997438863 6191173.24000000022351742),5.70715E+17,21 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Bandsbøl By, Hemmet",55a,457634.66,6191173.24,SDFE2018
T221,Point (474857.15999999997438863 6194137.61000000033527613),5.70715E+17,17 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,3b,474857.16,6194137.61,SDFE2018
T222,Point (474599.76000000000931323 6194268.30999999959021807),5.70715E+17,16 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,7a,474599.76,6194268.31,Stamdata
T223,Point (474343.77000000001862645 6194406.23000000044703484),5.70715E+17,16 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,7f,474343.77,6194406.23,Stamdata
T224,Point (474089.44000000000232831 6194538.51999999955296516),5.70715E+17,16 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,8e,474089.44,6194538.52,Stamdata
T225,Point (474674.83000000001629815 6193879.0400000000372529),5.70715E+17,16 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,3d,474674.83,6193879.04,Stamdata
T226,Point (474398.01000000000931323 6194015.29999999981373549),5.70715E+17,16 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,7a,474398.01,6194015.3,Stamdata
T227,Point (474134.26000000000931323 6194144.51999999955296516),5.70715E+17,15 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,8a,474134.26,6194144.52,SDFE2018
T228,Point (473871.15999999997438863 6194272.61000000033527613),5.70715E+17,16 12 2010,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,Ådum Kirkeby,6c,473871.16,6194272.61,Stamdata
T229,Point (460170.26000000000931323 6210725.67999999970197678),5.70715E+17,23 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Ø.Lem by, Sdr. Lem",29f,460170.26,6210725.68,SDFE2018
T230,Point (460068.34999999997671694 6211008.16000000014901161),5.70715E+17,27 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Ø.Lem by, Sdr. Lem",71i,460068.35,6211008.16,SDFE2018
T231,Point (459961.14000000001396984 6211305.0400000000372529),5.70715E+17,21 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Ø.Lem by, Sdr. Lem",24g,459961.14,6211305.04,SDFE2018
T232,Point (459856.46000000002095476 6211595.21999999973922968),5.70715E+17,30 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Ø.Lem by, Sdr. Lem",17q,459856.46,6211595.22,SDFE2018
T233,Point (459751.86999999999534339 6211885.66000000014901161),5.70715E+17,30 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Holmgård, Sdr. Lem",1af,459751.87,6211885.66,SDFE2018
T234,Point (459654.75 6210731.07000000029802322),5.70715E+17,27 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Ø.Lem by, Sdr. Lem",16m,459654.75,6210731.07,SDFE2018
T235,Point (459188.84000000002561137 6211936.75999999977648258),5.70715E+17,30 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den nordlige del, Velling",53i,459188.84,6211936.76,SDFE2018
T236,Point (459074.48999999999068677 6212232.20000000018626451),5.70715E+17,28 12 2011,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den nordlige del, Velling",53h,459074.49,6212232.2,SDFE2018
T237,Point (464456.78999999997904524 6189428.58000000007450581),5.70715E+17,29 12 2011,3075,112,54.5,85,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,Hemmet Præstegård,40,464456.79,6189428.58,SDFE2018
T238,Point (464186.82000000000698492 6189656.71999999973922968),5.70715E+17,30 12 2011,3075,112,54.5,85,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,Hemmet Præstegård,18d,464186.82,6189656.72,SDFE2018
T239,Point (463916.72999999998137355 6189884.90000000037252903),5.70715E+17,29 12 2011,3075,112,54.5,85,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,Hemmet Præstegård,40,463916.73,6189884.9,SDFE2018
T240,Point (463647.03000000002793968 6190113.28000000026077032),5.70715E+17,28 12 2011,3075,112,54.5,85,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,Hemmet Præstegård,5e,463647.03,6190113.28,SDFE2018
T241,Point (463377.35999999998603016 6190342.24000000022351742),5.70715E+17,29 12 2011,3075,112,54.5,85,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,Hemmet Præstegård,15p,463377.36,6190342.24,SDFE2018
T242,Point (463107.61999999999534339 6190569.25999999977648258),5.70715E+17,23 12 2011,3075,112,54.5,85,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,Hemmet Præstegård,15p,463107.62,6190569.26,SDFE2018
T243,Point (462838.02000000001862645 6190798.16000000014901161),5.70715E+17,21 12 2011,3075,112,54.5,85,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,Hemmet Præstegård,15p,462838.02,6190798.16,SDFE2018
T244,Point (444712.67999999999301508 6206577.5),5.70715E+17,21 12 2011,3075,112,54.5,88,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Søgård Hgd., Holmsland Klit",11q,444712.68,6206577.5,SDFE2018
T245,Point (444566.53000000002793968 6207293.53000000026077032),5.70715E+17,30 12 2011,3075,112,54.5,88,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Søgård Hgd., Holmsland Klit",11ef,444566.53,6207293.53,SDFE2018
T246,Point (483797.42999999999301508 6207163.36000000033527613),5.70715E+17,27 06 2012,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den østlige del, Nr. Vium",4æ,483797.43,6207163.36,SDFE2018
T247,Point (483934.36999999999534339 6207596.61000000033527613),5.70715E+17,27 06 2012,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den Østlige det, Nr. Vium",3c,483934.37,6207596.61,SDFE2018
T248,Point (484066.65000000002328306 6208036.82000000029802322),5.70715E+17,27 06 2012,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den østlige Del, Nr. Vium",3c,484066.65,6208036.82,SDFE2018
T249,Point (484199.96999999997206032 6208463.86000000033527613),5.70715E+17,27 06 2012,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den østlige Del, Nr. Vium",3n,484199.97,6208463.86,SDFE2018
T250,Point (483511.76000000000931323 6207713.29999999981373549),5.70715E+17,27 06 2012,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den østlie Del, Nr. Vium",4æ,483511.76,6207713.3,SDFE2018
T251,Point (483225.57000000000698492 6208270.36000000033527613),5.70715E+17,27 06 2012,3075,112,54.5,94,Vestas Wind Systems A/S,V112-3.0MW,760,Ringkøbing-Skjern,LAND,"Den østlige del, Nr. Vium",3q,483225.57,6208270.36,SDFE2018
T252,Point (459424.15999999997438863 6211327.42999999970197678),5.70715E+17,20 12 2012,3300,112,54.5,94,Vestas Wind Systems A/S,"V112-3,45MW",760,Ringkøbing-Skjern,LAND,"Ø. Lem By, sdr. Lem",15i,459424.16,6211327.43,SDFE2018
T253,Point (458349 6189557.90000000037252903),5.71313E+17,30 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Bandsbøl By, Hemmet",4g,458349,6189557.9,SDFE2018
T254,Point (458208.90000000002328306 6189875.09999999962747097),5.71313E+17,16 01 2018,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Bandsbøl By, Hemmet",12c,458208.9,6189875.1,SDFE2018
T255,Point (458068.79999999998835847 6190192.40000000037252903),5.71313E+17,22 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Bandsbøl By, Hemmet",12c,458068.8,6190192.4,SDFE2018
T256,Point (457997.40000000002328306 6189470.70000000018626451),5.71313E+17,28 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Nr. Bork By, Nr. Bork",20a,457997.4,6189470.7,SDFE2018
T257,Point (457847.70000000001164153 6189809.70000000018626451),5.71313E+17,19 01 2018,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Bandsbøl By, Hemmet",12c,457847.7,6189809.7,SDFE2018
T258,Point (458149.20000000001164153 6189127.09999999962747097),5.71313E+17,22 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Nr. Bork By, Nr. Bork",64a,458149.2,6189127.1,SDFE2018
T259,Point (483250 6186606),5.71313E+17,21 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Grimlund Gde., Hoven",1d,483250,6186606,SDFE2018
T260,Point (483285 6186957),5.71313E+17,20 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Grimlund Ge, Hoven",1d,483285,6186957,SDFE2018
T261,Point (483319 6187308),5.71313E+17,20 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Grimlund Gde., Hoven",1d,483319,6187308,SDFE2018
T262,Point (482854 6186670),5.71313E+17,22 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Grimlund Gde., Hoven",1d,482854,6186670,SDFE2018
T263,Point (482888 6187021),5.71313E+17,20 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Grimlund Gde., Hoven",1d,482888,6187021,SDFE2018
T264,Point (482923 6187373),5.71313E+17,20 12 2017,3600,126,61.5,87,Vestas Wind Systems A/S,V126-3.6 MW,760,Ringkøbing-Skjern,LAND,"Grimlund Gde., Hoven",1d,482923,6187373,SDFE2018
T265,Point (463705.09000000002561137 6190611.11000000033527613),5.71313E+17,22 12 2017,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Lønborggård Hgd., Lønborg",1y,463705.09,6190611.11,SDFE2018
T266,Point (463973.11999999999534339 6190384.79999999981373549),5.71313E+17,23 12 2017,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Lønborggård Hgd., Lønborg",1y,463973.12,6190384.8,SDFE2018
T267,Point (464242.01000000000931323 6190157.00999999977648258),5.71313E+17,23 12 2017,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Lønborggård Hgd., Lønborg",1y,464242.01,6190157.01,SDFE2018
T268,Point (464510.16999999998370185 6189930.20000000018626451),5.71313E+17,5 01 2018,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Lønborggård Hgd., Lønborg",1y,464510.17,6189930.2,SDFE2018
T269,Point (464777.11999999999534339 6189704.76999999955296516),5.71313E+17,31 12 2017,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",41,464777.12,6189704.77,SDFE2018
T270,Point (465046.01000000000931323 6189477.00999999977648258),5.71313E+17,7 02 2018,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",43,465046.01,6189477.01,SDFE2018
T271,Point (464723.95000000001164153 6189203.23000000044703484),5.71313E+17,8 02 2018,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",43,464723.95,6189203.23,SDFE2018
T272,Point (463067.76000000000931323 6190087.7099999999627471),5.71313E+17,23 12 2017,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",19a,463067.76,6190087.71,SDFE2018
T273,Point (463336.28000000002793968 6189860.66000000014901161),5.71313E+17,30 12 2017,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",4n,463336.28,6189860.66,SDFE2018
T274,Point (463605.65000000002328306 6189629.37000000011175871),5.71313E+17,29 12 2017,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",5c,463605.65,6189629.37,SDFE2018
T275,Point (463876.42999999999301508 6189404.12999999988824129),5.71313E+17,7 02 2018,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",39,463876.43,6189404.13,SDFE2018
T276,Point (464146.97999999998137355 6189174.96999999973922968),5.71313E+17,7 02 2018,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",39,464146.98,6189174.97,SDFE2018
T277,Point (464417.65000000002328306 6188946.04999999981373549),5.71313E+17,7 02 2018,3600,117,57,91,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Hemmet Præstegård, Hemmet",42,464417.65,6188946.05,SDFE2018
T278,Point (457413 6209509),5.71313E+17,18 12 2020,5600,150,73.5,125,Vestas Wind Systems A/S,"V150-5,6 MW",760,Ringkøbing-Skjern,LAND,"Venner By, Velling",1ax,457413,6209509,Stamdata
T279,Point (457512 6208823),5.71313E+17,18 12 2020,5600,162,79.5,119,Vestas Wind Systems A/S,"V162-5,6 MW",760,Ringkøbing-Skjern,LAND,"Venner By, Velling",16,457512,6208823,Stamdata
T280,Point (479023.35999999998603016 6207801.74000000022351742),5.71313E+17,12 08 2013,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"den østlige del, Falster",10ai,479023.36,6207801.74,SDFE2018
T281,Point (479344.28999999997904524 6207695.80999999959021807),5.71313E+17,13 08 2013,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"den østlige del, Falster",10ai,479344.29,6207695.81,SDFE2018
T282,Point (479666.13000000000465661 6207588.5),5.71313E+17,14 08 2013,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"den østlige del, Falster",12b,479666.13,6207588.5,SDFE2018
T283,Point (462102.09000000002561137 6215999.76999999955296516),5.71313E+17,10 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,16o,462102.09,6215999.77,SDFE2018
T284,Point (461797.39000000001396984 6216175.16999999992549419),5.71313E+17,10 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,28f,461797.39,6216175.17,SDFE2018
T285,Point (461492.92999999999301508 6216350.36000000033527613),5.71313E+17,11 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,15q,461492.93,6216350.36,SDFE2018
T286,Point (461188.29999999998835847 6216525.09999999962747097),5.71313E+17,7 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,14t,461188.3,6216525.1,SDFE2018
T287,Point (460883.75 6216701.08999999985098839),5.71313E+17,1 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,14u,460883.75,6216701.09,SDFE2018
T288,Point (460578.70000000001164153 6216876.12000000011175871),5.71313E+17,1 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,14v,460578.7,6216876.12,SDFE2018
T289,Point (460275.40999999997438863 6217050.91999999992549419),5.71313E+17,13 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,18ø,460275.41,6217050.92,SDFE2018
T290,Point (459970.13000000000465661 6217226.58999999985098839),5.71313E+17,14 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,"Den sydlige del, No",45t,459970.13,6217226.59,SDFE2018
T291,Point (459666.25 6217401.12999999988824129),5.71313E+17,20 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,"Den sydlige del, No",45u,459666.25,6217401.13,SDFE2018
T292,Point (459360.78999999997904524 6217576.26999999955296516),5.71313E+17,22 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,"Den sydlige del, No",64e,459360.79,6217576.27,SDFE2018
T293,Point (459057.23999999999068677 6217751.65000000037252903),5.71313E+17,28 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,"Den sydlige del, No",19ab,459057.24,6217751.65,SDFE2018
T294,Point (462503.34999999997671694 6216313.58000000007450581),5.71313E+17,3 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,16p,462503.35,6216313.58,SDFE2018
T295,Point (462189.75 6216494.40000000037252903),5.71313E+17,3 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,17n,462189.75,6216494.4,SDFE2018
T296,Point (461876.40000000002328306 6216673.90000000037252903),5.71313E+17,3 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,17o,461876.4,6216673.9,SDFE2018
T297,Point (461563.30999999999767169 6216854.58000000007450581),5.71313E+17,27 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,17p,461563.31,6216854.58,SDFE2018
T298,Point (461250.41999999998370185 6217033.96999999973922968),5.71313E+17,19 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,17q,461250.42,6217033.97,SDFE2018
T299,Point (460939.89000000001396984 6217214.66000000014901161),5.71313E+17,9 11 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,19z,460939.89,6217214.66,SDFE2018
T300,Point (460623.60999999998603016 6217394.84999999962747097),5.71313E+17,17 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,19æ,460623.61,6217394.85,SDFE2018
T301,Point (460309.41999999998370185 6217575.92999999970197678),5.71313E+17,17 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,Degneboligen Ølstrup,19ø,460309.42,6217575.93,SDFE2018
T302,Point (460001.20000000001164153 6217756.08000000007450581),5.71313E+17,16 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,"Den sydlige del, No",43m,460001.2,6217756.08,SDFE2018
T303,Point (459684.34000000002561137 6217935.33999999985098839),5.71313E+17,17 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,"Den sydlige del, No",62n,459684.34,6217935.34,SDFE2018
T304,Point (459370.11999999999534339 6218116.25),5.71313E+17,14 12 2013,3300,112,54.5,94,Vestas Wind Systems A/S,V112-3.3MW,760,Ringkøbing-Skjern,LAND,"Den sydlige del, No",62o,459370.12,6218116.25,SDFE2018
T305,Point (473659.01000000000931323 6208169.75),5.71313E+17,11 07 2015,2000,80,38.5,67,Vestas Wind Systems A/S,V 80 2,760,Ringkøbing-Skjern,LAND,"Sædding by, Sædding",8r,473659.01,6208169.75,SDFE2018
T306,Point (473861.09999999997671694 6208431.25),5.71313E+17,7 07 2015,2000,80,38.5,67,Vestas Wind Systems A/S,V 80 2,760,Ringkøbing-Skjern,LAND,"Sædding by, Sædding",10s,473861.1,6208431.25,SDFE2018
T307,Point (474063.03999999997904524 6208693.20000000018626451),5.71313E+17,4 07 2015,2000,80,38.5,67,Vestas Wind Systems A/S,V 80 2,760,Ringkøbing-Skjern,LAND,"Sædding by, Sædding",6bø,474063.04,6208693.2,SDFE2018
T308,Point (452793.36999999999534339 6220184.11000000033527613),5.71313E+17,26 11 2015,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Søgård Hgd., Nysogn",155c,452793.37,6220184.11,SDFE2018
T309,Point (452781.71999999997206032 6219864.71999999973922968),5.71313E+17,29 12 2015,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Søgård Hgd., Nysogn",3cc,452781.72,6219864.72,SDFE2018
T310,Point (452769.21000000002095476 6219544.63999999966472387),5.71313E+17,7 12 2015,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Søgård Hgd., Nysogn",23s,452769.21,6219544.64,SDFE2018
T311,Point (452756.84000000002561137 6219225.23000000044703484),5.71313E+17,16 12 2015,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Søgård Hgd., Nysogn",9as,452756.84,6219225.23,SDFE2018
T312,Point (452744.83000000001629815 6218905.86000000033527613),5.71313E+17,18 12 2015,3000,90,43.5,80,Vestas Wind Systems A/S,V 90-3 MW,760,Ringkøbing-Skjern,LAND,"Søgård Hgd., Nysogn",9at,452744.83,6218905.86,SDFE2018
T313,Point (459536 6211035.20000000018626451),5.71313E+17,15 11 2016,3600,117,57,91.5,Vestas Wind Systems A/S,V117-3.6 MW,760,Ringkøbing-Skjern,LAND,"Ø. Lem by, Sdr Lem",15l,459536,6211035.2,SDFE2018
